,id,native,language,probabilities,english_only,text
332,425.0,Spanish,"[{'language': 'French', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571401732401225, fr:0.1428577221852717]",False,"Bonjour à tous, Je cherche des gens natifs en français et en anglais pour améliorer mon niveau ainsi de bien me débrouiller sur ces deux langues. En échange je peux vous aider avec l'espagnol. I’d like to learn more English and become confident using it when I am in mi job. I’m really looking forward to making lots of friends from around the world and improving my English a lot and I’ll help you with Spanish too. I need lots of help, but I’m willing to provide great conversation in return."
340,435.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999957865517748],True,I'd like to improve my english skills to grow professionally. I want to practice listening and speaking. I love to teach others and I will be pleasured.
346,442.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999951949146904],True,Cultural aspects and exchange language
349,445.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.999994699906862],True,"Hello, I am from Dominican Republic and I want to improve my English and French knowledges, make friends. I work as Software Developer."
350,446.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999954295466337],True,"Hi, I would like to improve my speaking. I have been living in Tennessee for 3 years and I can not speak fluently. I am a friendly person. I love to learn and to teach. I have experience teaching. Currently, I am studying English at the College. I want to know a person that really wants to learn Spanish. I am preparing my schedule for teaching Spanish next fall. I’ll see you soon!!!"
352,448.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Latin', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Nahuatl', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999959125600341],True,"Looking to learn and improve my poor English, French, Italian, German and Latin. I use some messaging apps. Open to questions, just ask. I don't ask for photos or video chat, though I do voice and text messaging as well as voice calls. Roll Tide Roll. I like hot sauce. Cat dad."
355,451.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999947549678696],True,"Hello everyone, I am a person who enjoys exchanging experiences and knowledge with other people in the world, I really like that we can help each other, if you are studying Spanish for any reason I can help you."
359,456.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999977154257189],True,"Hello! I aspire to make songs, poems, and articles in English. I am currently learning Italian too. It will be a pleasure to help you with Spanish in exchange."
368,470.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.999996725508176],True,"Everyone is welcome in this profile. If you want a partner who can help you with your Spanish I'm here. I will be glad to teach and give you feedback. I'm interested to have a language exchange in English and French. Of course, If the exchange happens on a video Call better, we can improve our conversational skills. I'm interested in Asian and French culture."
375,478.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997928261462],True,"Hey, you can called me Mush , I'm a French student in a business school, I would like to level up my English skill so feel free to discuss about anything , im willing to meet more people, thank you."
378,482.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997899336244],True,"Hi, im Bruno, im a enthusiastic person that are learning English 1 year ago, Im native speak Spanish, I love reading, watching movies, i would like to be able to speak English fluently. If you need some help with Spanish contact me."
388,494.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.999997008667856],True,"Hello I'm from Peru, I really love languages and to know different cultures around the world.A conversation to improve my fluency would be great.I'd love to practice with anyone these languages:English,French or Portuguese.I can help with Spanish.Feel free to contact me if you are interested in learning languages or in practicing any of these languages."
389,495.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970428524155],True,"Hi! I work for a company from United States and that's why I would like to continue improving my english. I can help you with your spanish doing my best. I'm an open person so we can definitely have a conversation about any kind of topic. I would rather an audio or video call because that's the most natural way of leaning. Looking forward for your message, Regards, Andrés"
399,508.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571390544360475, es:0.1428588202193]",False,"Hi, I was wondering if you wanted to help me to practice my English by having some conversations from time to time about...anything?. I'd like to assist you with Spanish too. Soy de México y aunque tengo un nivel basico del idioma inglés, me gustaria practicarlo con mas frecuencia y ganar fluidez poco a poco. Espero puedas apoyarme."
400,510.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999938069607859],True,"I want to learn, improve and increasing my level English and share with other my knowledge."
403,514.0,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962458828583],True,I wanna understand the world around me!
410,523.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}]",[en:0.9999961967166835],True,"Hi, I'm 41 french woman living in Toulouse. I'm happy to exchange with people learning french  I like to cook and exchange about recipe from all other the world. I also like sport, care about the planete and I'm worried about climate&amp; biodiversity. I prefer face to face conversation in town! See you"
415,529.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999963149868326],True,"Hello, I'm native catalan speaker (also I speak spanish perfectly), I'd like to improve my english and helping with your catalan/spanish! I love learning new languages and cultures, I'm a bit shy at first but I really want to meet new people from other countries, my english level is intermediate."
417,531.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","[en:0.7142830066011041, es:0.2857153907126637]",False,Hi! I am Mary I wanna improve my vocabulary and meet new people. I love nature También puedo ayudarles a mejorar su español :)
418,532.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958558309114],True,"Hi I am Socorro, I´m a retired science teacher from Mexico. I´m looking for someone to practice English and I would love to help you to learn Spanish"
420,534.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967626796867],True,"Hi! I'm Spanish, right now I am in Canada for a few days. I would like to improve my English level."
421,535.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999985402425461],True,Spanish speaker trying to practice English. Willing to help with Spanish.
424,539.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977478014752],True,hi i'm insterested in art and productivity stuff. Also im trying to improve my english here and i can help you with your spanish if you want to.
428,543.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961461140635],True,"I need to improve my English, and I've thought that doing it with a beer in my hand would be a great way. I can hold a conversation on different and complex topics, but I'd like to seem more natural when I speak. In exchange, I offer my (almost) perfect Spanish, and a funny conversation full of bad jokes. Worst jokes ever. I promise!"
430,545.0,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999981615323041],True,"I'm a 30 year old mexican. I studied Biology as a profession many years ago, and now I am a high school science teacher, which is something I love. I learned English by self-taught since I was a teenager, but I've never had the chance and the courage to practice it with someone, so I want to try this and see what happens. I'm looking forward to make this an interesting experience."
